¬í	ECG	¤ß¸õ²v
0.232	-0.593872	0
0.233	-0.59082	0
0.234	-0.587463	0
0.235	-0.583801	0
0.236	-0.580139	0
0.237	-0.576477	0
0.238	-0.573425	0
0.239	-0.570374	0
0.24	-0.567932	0
0.241	-0.565796	0
0.242	-0.563965	0
0.243	-0.563049	0
0.244	-0.562744	0
0.245	-0.563049	0
0.246	-0.563965	0
0.247	-0.565186	0
0.248	-0.567017	0
0.249	-0.569153	0
0.25	-0.571594	0
0.251	-0.57373	0
0.252	-0.575562	0
0.253	-0.577087	0
0.254	-0.577393	0
0.255	-0.576477	0
0.256	-0.574341	0
0.257	-0.571289	0
0.258	-0.566711	0
0.259	-0.560913	0
0.26	-0.553894	0
0.261	-0.545959	0
0.262	-0.537415	0
0.263	-0.528259	0
0.264	-0.518799	0
0.265	-0.509338	0
0.266	-0.500488	0
0.267	-0.492249	0
0.268	-0.484924	0
0.269	-0.478821	0
0.27	-0.473633	0
0.271	-0.469666	0
0.272	-0.466919	0
0.273	-0.465393	0
0.274	-0.465393	0
0.275	-0.466614	0
0.276	-0.469055	0
0.277	-0.472107	0
0.278	-0.476074	0
0.279	-0.480042	0
0.28	-0.484314	0
0.281	-0.487976	0
0.282	-0.491333	0
0.283	-0.493774	0
0.284	-0.495911	0
0.285	-0.497437	0
0.286	-0.498352	0
0.287	-0.498352	0
0.288	-0.497437	0
0.289	-0.495605	0
0.29	-0.492554	0
0.291	-0.488586	0
0.292	-0.484009	0
0.293	-0.479126	0
0.294	-0.474243	0
0.295	-0.469971	0
0.296	-0.466309	0
0.297	-0.463562	0
0.298	-0.461426	0
0.299	-0.46051	0
0.3	-0.46051	0
0.301	-0.461426	0
0.302	-0.463257	0
0.303	-0.466309	0
0.304	-0.470276	0
0.305	-0.475464	0
0.306	-0.481567	0
0.307	-0.488281	0
0.308	-0.495605	0
0.309	-0.50293	0
0.31	-0.510559	0
0.311	-0.518188	0
0.312	-0.525818	0
0.313	-0.533142	0
0.314	-0.539856	0
0.315	-0.545959	0
0.316	-0.551453	0
0.317	-0.556335	0
0.318	-0.560608	0
