L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
0.515	-11.9568	-2.14099	-2.33207	-5.074	-1.19628
0.52	-17.5476	-1.26642	-6.60355	-5.10182	-1.24917
0.525	-15.3198	-0.250487	-8.36421	-5.13913	-1.25783
0.53	-9.39331	0.785188	-6.86439	-5.18441	-1.22451
0.535	-4.85229	1.71502	-2.52682	-5.23612	-1.15204
0.54	-1.80664	2.42725	3.07343	-5.29314	-1.04447
0.545	0.567627	2.83649	7.68208	-5.3541	-0.907236
0.55	7.74536	2.89529	9.23311	-5.41699	-0.747577
0.555	5.13306	2.59885	6.83863	-5.47971	-0.57285
0.56	-1.94702	1.98484	1.37972	-5.54055	-0.390502
0.565	-12.561	1.12959	-4.74114	-5.59771	-0.207255
0.57	-16.3635	0.139396	-8.69868	-5.64902	-0.0293146
0.575	-12.793	-0.8628	-8.6714	-5.69204	0.13743
0.58	-9.08203	-1.75201	-4.80992	-5.72473	0.287764
0.585	-8.53271	-2.41661	0.839224	-5.74573	0.417461
0.59	-5.67017	-2.77382	5.44702	-5.75391	0.523257
0.595	-0.671387	-2.77832	6.94733	-5.74773	0.60298
0.6	-0.158691	-2.42871	5.10585	-5.72559	0.655614
0.605	-3.21655	-1.7668	1.48661	-5.68619	0.681402
0.61	-8.71582	-0.873843	-1.63985	-5.62856	0.681054
0.615	-9.46045	0.138011	-2.73152	-5.55206	0.656301
0.62	-5.62134	1.14015	-1.82199	-5.45623	0.609977
0.625	-3.17383	2.00377	-0.28557	-5.34081	0.546111
0.63	-1.02539	2.61787	0.267493	-5.206	0.468948
0.635	-1.7395	2.90274	-0.805596	-5.05194	0.382497
0.64	-4.02222	2.81643	-2.69617	-4.87895	0.290748
0.645	-6.68945	2.36332	-3.70476	-4.6876	0.198114
0.65	-6.427	1.59505	-2.4555	-4.4792	0.108475
0.655	-3.302	0.604902	1.02574	-4.25561	0.0251539
0.66	3.96729	-0.484036	5.11791	-4.01851	-0.0494199
0.665	5.06592	-1.53561	7.46892	-3.76928	-0.112782
0.67	0.769043	-2.41807	6.39561	-3.50951	-0.163189
0.675	-7.44629	-3.01698	1.98694	-3.24127	-0.19932
0.68	-12.2131	-3.25108	-3.79798	-2.96703	-0.220947
0.685	-12.3352	-3.08316	-8.11581	-2.68949	-0.228911
0.69	-10.321	-2.52584	-8.76449	-2.41062	-0.224622
0.695	-8.19092	-1.64077	-5.38894	-2.13259	-0.209733
0.7	-5.5481	-0.529964	0.324598	-1.85766	-0.185637
0.705	0.0244141	0.675398	5.55992	-1.58864	-0.154203
0.71	8.86841	1.82998	7.87209	-1.32848	-0.118588
0.715	11.0901	2.79214	6.43741	-1.07958	-0.0818977
0.72	6.9519	3.44178	2.3599	-0.844024	-0.0465094
0.725	-2.14844	3.69524	-2.07135	-0.623819	-0.0134777
0.73	-5.37109	3.51458	-4.70885	-0.420787	0.0161151
0.735	-1.2085	2.91399	-4.66295	-0.236701	0.0406607
0.74	2.53296	1.95836	-2.58426	-0.0732389	0.0586188
0.745	1.70898	0.755407	-0.0402261	0.0679206	0.0692955
0.75	-0.787354	-0.557386	1.55591	0.185195	0.0720706
0.755	-3.44849	-1.83079	1.74775	0.277575	0.0663751
0.76	-1.87378	-2.91935	1.08654	0.344476	0.0525236
0.765	0.964355	-3.69767	0.493699	0.38558	0.0321068
0.77	-1.15356	-4.07481	0.474158	0.400654	0.00784293
0.775	-5.13916	-4.00584	0.76845	0.38947	-0.0180918
0.78	-8.47778	-3.49609	0.684989	0.352008	-0.0444448
0.785	-3.20435	-2.60065	-0.199102	0.289154	-0.0700103
0.79	1.72119	-1.41613	-1.55013	0.201961	-0.0928689
0.795	2.28271	-0.0704076	-2.42117	0.0916447	-0.110323
0.8	-1.72119	1.29171	-1.95566	-0.0409646	-0.121228
0.805	-3.49121	2.52458	-0.116696	-0.194874	-0.124764
0.81	2.69775	3.49699	2.13764	-0.368442	-0.12067
0.815	10.4797	4.10692	3.41224	-0.55966	-0.107707
0.82	11.7493	4.29198	2.80225	-0.766399	-0.0846121
0.825	5.45044	4.03553	0.55078	-0.986984	-0.0512792
0.83	-3.17383	3.36531	-2.06883	-1.2193	-0.0087257
0.835	-5.80444	2.35264	-3.55347	-1.46116	0.0413067
0.84	-4.04663	1.10277	-3.12082	-1.71026	0.097064
0.845	-3.03955	-0.255588	-1.13391	-1.96465	0.156594
0.85	0.201416	-1.58581	1.21253	-2.22244	0.217897
0.855	-0.372314	-2.7578	2.69113	-2.48161	0.278276
0.86	-3.55225	-3.65866	2.73613	-2.73991	0.334629
0.865	-9.49707	-4.20245	1.63447	-2.9954	0.383974
0.87	-11.7371	-4.33846	0.178515	-3.24658	0.423941
0.875	-5.70068	-4.05563	-0.911903	-3.49174	0.452759
0.88	-2.9541	-3.38427	-1.36718	-3.72931	0.468353
0.885	-4.20532	-2.38893	-1.36966	-3.95787	0.468814
0.89	-7.56836	-1.1639	-1.23513	-4.17611	0.452922
0.895	-8.3313	0.176286	-1.10815	-4.38324	0.420541
0.9	-5.5542	1.50545	-0.865974	-4.57859	0.371678
0.905	0.311279	2.69776	-0.265919	-4.76163	0.306009
0.91	2.68555	3.63933	0.802466	-4.93202	0.224385
0.915	3.44849	4.23934	2.13695	-5.08941	0.129067
0.92	1.3916	4.43697	3.20713	-5.23374	0.0238292
0.925	-1.2207	4.2087	3.33619	-5.36542	-0.0879504
0.93	-1.50146	3.57131	2.04089	-5.48493	-0.20332
0.935	-4.13208	2.58077	-0.592474	-5.59296	-0.319178
0.94	-7.59277	1.32762	-3.72842	-5.69016	-0.431546
0.945	-11.084	-0.0713127	-5.9665	-5.7772	-0.536286
0.95	-11.8896	-1.48209	-5.97309	-5.85495	-0.629505
0.955	-12.1338	-2.76569	-3.27693	-5.92458	-0.707669
0.96	-12.2742	-3.79171	1.23302	-5.98752	-0.767511
0.965	-8.19092	-4.45156	5.55003	-6.04511	-0.805648
0.97	-2.00195	-4.67085	7.5559	-6.09869	-0.820201
0.975	-1.61743	-4.41685	6.24839	-6.14939	-0.809749
0.98	-7.6416	-3.70462	2.39506	-6.19858	-0.773953
0.985	-13.4277	-2.59806	-1.88817	-6.24744	-0.713049
0.99	-15.0513	-1.20562	-4.45703	-6.29741	-0.627664
0.995	-11.1145	0.329574	-4.45326	-6.3496	-0.519473
1	-9.53369	1.84372	-2.73209	-6.40491	-0.390666
1.005	-6.20728	3.17147	-1.06228	-6.46408	-0.244399
1.01	-2.12402	4.16395	-0.701643	-6.52813	-0.0846753
1.015	-0.57373	4.70802	-1.4368	-6.59837	0.0831694
1.02	-2.35596	4.73789	-1.82628	-6.67568	0.253945
1.025	-3.90015	4.24319	-0.476257	-6.7604	0.422473
1.03	-5.05981	3.27264	2.6411	-6.85269	0.584136
1.035	1.09253	1.93105	5.90424	-6.95286	0.734159
1.04	5.2124	0.369728	7.09147	-7.06147	0.867581
1.045	3.05176	-1.2311	4.99294	-7.17874	0.97995
1.05	-7.40356	-2.68542	0.384034	-7.30442	1.06758
1.055	-20.0867	-3.82119	-4.40898	-7.43796	1.12716
1.06	-23.23	-4.50253	-7.02544	-7.57895	1.1562
1.065	-17.4438	-4.64557	-6.56354	-7.7271	1.15324
1.07	-11.7432	-4.23171	-3.95845	-7.88201	1.11843
1.075	-8.66089	-3.3099	-1.04607	-8.04293	1.05315
1.08	-8.12988	-1.99333	0.882295	-8.20892	0.959481
1.085	-7.64771	-0.444724	1.87389	-8.37901	0.840125
1.09	-7.42188	1.14207	2.87802	-8.5524	0.698578
1.095	-3.97949	2.56726	4.50282	-8.72837	0.539215
1.1	5.54199	3.6508	6.10322	-8.90586	0.36674
1.105	6.073	4.25557	6.03628	-9.08377	0.186395
1.11	0.671387	4.30506	3.00632	-9.26109	0.00334531
1.115	-12.7625	3.79364	-2.56168	-9.43691	-0.177011
1.12	-19.696	2.78791	-8.27974	-9.61045	-0.349414
1.125	-18.3044	1.41997	-11.0257	-9.78073	-0.508877
1.13	-16.0583	-0.129308	-8.90253	-9.94692	-0.650843
1.135	-14.3555	-1.65402	-2.57162	-10.1083	-0.771032
1.14	-13.0737	-2.95204	4.97698	-10.2643	-0.867388
1.145	-4.04663	-3.85071	10.0951	-10.4142	-0.938311
1.15	-4.21753	-4.22874	10.5252	-10.5574	-0.982926
1.155	-7.8125	-4.03208	6.51509	-10.694	-1.00051
1.16	-16.9189	-3.28312	0.416213	-10.8236	-0.990089
1.165	-21.1243	-2.07878	-4.82638	-10.9461	-0.952072
1.17	-18.0115	-0.578309	-7.25653	-11.0611	-0.889895
1.175	-14.386	1.02057	-6.62785	-11.1685	-0.807354
1.18	-12.6282	2.50465	-4.02568	-11.2689	-0.707917
1.185	-10.5164	3.67394	-0.894335	-11.3625	-0.594601
1.19	-9.69849	4.36669	1.77162	-11.4496	-0.470773
1.195	-7.51343	4.48334	3.60644	-11.5306	-0.341004
1.2	-0.305176	4.0001	4.53602	-11.6059	-0.210609
1.205	-0.354004	2.97288	4.40868	-11.6762	-0.083328
1.21	-5.16357	1.52857	2.99174	-11.7424	0.0379142
1.215	-16.217	-0.150696	0.34014	-11.8053	0.151222
1.22	-22.3816	-1.84967	-2.83875	-11.8654	0.253927
