L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
8.26	-15.1978	3.46201	1.98446	-16.7059	-1.82215
8.265	-16.5649	2.35322	-0.38501	-16.4528	-1.81068
8.27	-17.9626	0.957792	-2.05846	-16.1989	-1.7396
8.275	-19.635	-0.562457	-1.34961	-15.9469	-1.61061
8.28	-19.7815	-2.03029	1.64658	-15.6992	-1.4283
8.285	-10.9375	-3.27419	5.08939	-15.4592	-1.19904
8.29	-9.7229	-4.14747	6.60535	-15.2296	-0.931606
8.295	-12.7502	-4.54761	4.82486	-15.0129	-0.634982
8.3	-23.1934	-4.42646	0.252804	-14.8113	-0.318512
8.305	-29.6814	-3.79688	-5.0162	-14.6271	0.00730696
8.31	-27.2827	-2.73048	-8.47099	-14.4624	0.331411
8.315	-21.3257	-1.34883	-8.48815	-14.3196	0.642638
8.32	-15.0879	0.188013	-5.06269	-14.2005	0.931206
8.325	-10.1257	1.70086	0.302423	-14.1073	1.18827
8.33	-7.20215	3.01357	5.34539	-14.0413	1.40676
8.335	-6.86646	3.97423	8.0256	-14.004	1.58017
8.34	-0.762939	4.47311	7.34767	-13.9962	1.70313
8.345	0.646973	4.45532	3.76868	-14.0187	1.77206
8.35	-2.69775	3.92604	-0.966048	-14.0717	1.78596
8.355	-11.9263	2.95199	-4.57363	-14.1555	1.7458
8.36	-20.0745	1.6517	-5.35892	-14.2702	1.65355
8.365	-19.6533	0.180309	-3.16653	-14.4158	1.51212
8.37	-13.4949	-1.29015	0.431398	-14.5914	1.32557
8.375	-11.5662	-2.59063	3.00555	-14.7957	1.10139
8.38	-14.0747	-3.57416	2.79861	-15.0274	0.847724
8.385	-20.5261	-4.13345	-0.0361465	-15.2853	0.573645
8.39	-25.5615	-4.21324	-3.40506	-15.5677	0.28766
8.395	-25.0305	-3.81539	-4.62784	-15.8725	-0.00211652
8.4	-21.8384	-2.99719	-2.36275	-16.1971	-0.286976
8.405	-19.2871	-1.86409	2.25764	-16.5392	-0.558283
8.41	-10.5225	-0.555106	6.20039	-16.8962	-0.807683
8.415	-8.61206	0.775565	6.568	-17.2654	-1.02769
8.42	-10.8643	1.97688	2.72972	-17.6441	-1.21207
8.425	-19.6289	2.9181	-3.02439	-18.0294	-1.35643
8.43	-24.5483	3.50158	-6.9052	-18.4181	-1.45665
8.435	-22.1252	3.67371	-6.2174	-18.8068	-1.50995
8.44	-18.8538	3.43102	-1.31524	-19.1919	-1.51447
8.445	-14.4531	2.81801	4.52251	-19.5707	-1.47123
8.45	-11.5784	1.91875	7.28582	-19.9404	-1.38321
8.455	-14.2151	0.845656	4.99523	-20.2981	-1.25407
8.46	-23.4131	-0.27471	-0.896301	-20.6405	-1.0884
8.465	-33.2031	-1.31655	-6.47435	-20.9646	-0.890171
8.47	-33.6487	-2.16953	-8.02688	-21.2678	-0.66464
8.475	-27.2583	-2.75131	-4.54829	-21.5477	-0.41767
8.48	-20.1904	-3.01462	1.65845	-21.8023	-0.156571
8.485	-17.4744	-2.94938	6.62732	-22.0294	0.110258
8.49	-17.2424	-2.58159	7.43069	-22.227	0.374565
8.495	-18.4387	-1.96744	4.01049	-22.3935	0.629023
8.5	-23.3887	-1.18472	-1.02461	-22.5282	0.866428
8.505	-26.8677	-0.323487	-4.36905	-22.63	1.07906
8.51	-27.7771	0.524915	-4.26743	-22.6977	1.26026
8.515	-21.637	1.27785	-1.49235	-22.7309	1.4042
8.52	-15.7471	1.86875	1.48803	-22.7301	1.50806
8.525	-16.1987	2.25228	2.41636	-22.6959	1.56951
8.53	-21.8445	2.40538	0.816415	-22.6289	1.58681
8.535	-25.2625	2.3273	-1.83532	-22.5295	1.55859
8.54	-23.7854	2.03811	-3.33041	-22.3986	1.48466
8.545	-18.2129	1.57408	-2.36672	-22.2378	1.36618
8.55	-15.8264	0.983826	0.546263	-22.0488	1.20634
8.555	-18.4875	0.322855	3.50103	-21.8336	1.00977
8.56	-18.457	-0.350691	4.55332	-21.5943	0.782439
8.565	-20.813	-0.981343	3.02568	-21.3331	0.530397
8.57	-20.5994	-1.51818	-0.0840504	-21.0528	0.26082
8.575	-23.0835	-1.92054	-2.8342	-20.7558	-0.0185289
8.58	-25.885	-2.157	-3.63384	-20.4443	-0.298975
8.585	-25.3784	-2.20909	-2.22097	-20.1215	-0.572011
8.59	-24.0479	-2.07152	0.266428	-19.7907	-0.829899
8.595	-21.7712	-1.75213	2.11778	-19.4552	-1.06464
8.6	-20.0256	-1.2729	2.17901	-19.1177	-1.2691
8.605	-19.0552	-0.668652	0.547089	-18.7807	-1.43711
8.61	-20.2026	0.0130054	-1.57857	-18.4471	-1.56355
8.615	-21.8994	0.714263	-2.71757	-18.12	-1.64411
8.62	-19.8059	1.37174	-2.06323	-17.8022	-1.67539
8.625	-16.9006	1.92206	0.0504651	-17.4965	-1.65597
8.63	-14.5569	2.30849	2.41055	-17.2055	-1.58657
8.635	-11.0901	2.48636	3.70052	-16.9315	-1.46828
8.64	-10.9558	2.4289	3.272	-16.6758	-1.30329
8.645	-12.854	2.12889	1.42246	-16.4406	-1.09553
8.65	-17.0105	1.60481	-0.905544	-16.2279	-0.850902
8.655	-20.3369	0.898891	-2.7417	-16.0397	-0.576961
8.66	-20.7031	0.0762586	-3.55862	-15.8773	-0.280675
8.665	-20.6909	-0.783045	-3.33743	-15.7413	0.0302311
8.67	-20.5872	-1.59172	-2.29819	-15.6318	0.347198
8.675	-17.4683	-2.26277	-0.624827	-15.5494	0.660713
8.68	-14.0808	-2.71965	1.52095	-15.4947	0.961042
8.685	-14.0137	-2.90573	3.74666	-15.4682	1.23885
8.69	-16.1316	-2.79271	5.23391	-15.4696	1.4855
8.695	-10.6262	-2.38419	4.98372	-15.4979	1.69324
8.7	-10.4065	-1.71771	2.45616	-15.5524	1.85545
8.705	-12.7197	-0.857993	-1.7724	-15.6323	1.96731
8.71	-20.8557	0.107037	-5.93625	-15.7374	2.02551
8.715	-22.583	1.07604	-7.84868	-15.8662	2.02828
8.72	-17.4744	1.9434	-6.1624	-16.0168	1.97434
8.725	-10.3455	2.61234	-1.33945	-16.1875	1.86474
8.73	-8.52051	3.00632	4.38283	-16.3766	1.70239
8.735	-5.26123	3.07914	8.13088	-16.5823	1.4924
8.74	-4.14429	2.81971	8.0041	-16.8026	1.24166
8.745	-7.33032	2.25362	4.16414	-17.0356	0.956782
8.75	-15.2222	1.44076	-1.3004	-17.2795	0.645534
8.755	-24.5483	0.469175	-5.6337	-17.5326	0.316561
8.76	-27.2705	-0.554076	-6.97293	-17.7925	-0.020324
8.765	-24.762	-1.51654	-5.2262	-18.0571	-0.354928
8.77	-21.2646	-2.31253	-1.80405	-18.3244	-0.677937
8.775	-19.3787	-2.85513	1.46202	-18.5926	-0.980327
8.78	-19.2261	-3.08549	3.40572	-18.8596	-1.25385
8.785	-21.1182	-2.9771	3.91555	-19.1231	-1.49048
8.79	-24.5667	-2.54237	3.53973	-19.3817	-1.68396
8.795	-24.1394	-1.82976	2.76642	-19.6342	-1.8299
8.8	-18.3838	-0.919475	1.62826	-19.8794	-1.92465
8.805	-18.8354	0.0869098	-0.0919177	-20.1162	-1.96584
8.81	-22.9492	1.07669	-2.31786	-20.3431	-1.95195
8.815	-31.4331	1.9405	-4.35834	-20.5591	-1.88393
8.82	-30.8655	2.58322	-5.17097	-20.7636	-1.76491
8.825	-21.4111	2.93474	-4.05714	-20.9559	-1.59912
8.83	-15.2405	2.95681	-1.2518	-21.1356	-1.39184
8.835	-15.332	2.64592	2.10149	-21.3022	-1.14958
8.84	-18.1396	2.03737	4.58628	-21.4551	-0.880173
8.845	-20.3491	1.1993	5.33225	-21.594	-0.591217
8.85	-17.5659	0.22571	4.41112	-21.7192	-0.290256
8.855	-15.8447	-0.776193	2.55687	-21.8312	0.0147509
8.86	-18.8782	-1.69666	0.517471	-21.931	0.31549
8.865	-24.8108	-2.43388	-1.43011	-22.0186	0.603525
8.87	-30.9265	-2.90492	-3.38655	-22.0943	0.872012
8.875	-32.1594	-3.05516	-5.28612	-22.1587	1.11448
8.88	-28.5522	-2.86444	-6.43941	-22.2128	1.32519
8.885	-24.2188	-2.35001	-5.69541	-22.2577	1.4996
8.89	-21.1609	-1.56547	-2.27666	-22.2944	1.63414
8.895	-19.1345	-0.595332	3.27063	-22.3238	1.72641
8.9	-17.1936	0.454957	8.81268	-22.3466	1.77522
8.905	-7.25708	1.47007	11.4756	-22.3638	1.78076
8.91	-5.27344	2.33898	9.2774	-22.3766	1.74492
8.915	-10.7788	2.96447	2.54136	-22.3868	1.67004
8.92	-25.592	3.27469	-5.88801	-22.3953	1.55902
8.925	-36.0657	3.22982	-11.9707	-22.403	1.41562
8.93	-32.8857	2.82794	-12.6411	-22.4104	1.24447
8.935	-23.6267	2.1065	-7.56871	-22.4185	1.05066
8.94	-18.7012	1.1386	0.613126	-22.4284	0.83947
8.945	-17.1326	0.0252241	7.77945	-22.4411	0.617017
8.95	-14.6118	-1.1157	10.6193	-22.4574	0.389603
8.955	-17.3523	-2.16113	8.37555	-22.478	0.163636
8.96	-20.2209	-2.99746	2.98989	-22.5035	-0.0568442
8.965	-28.0334	-3.53086	-2.3288	-22.5345	-0.26819
8.97	-32.196	-3.69841	-5.09127	-22.5714	-0.466519
8.975	-31.6833	-3.47629	-4.81186	-22.6144	-0.646988
8.98	-28.6621	-2.88281	-2.83395	-22.6636	-0.805508
8.985	-25.6348	-1.97668	-1.02179	-22.719	-0.939693
8.99	-24.4568	-0.849817	-0.33232	-22.7809	-1.04805
8.995	-23.3032	0.382805	-0.322194	-22.85	-1.12955
9	-21.7407	1.59341	0.171972	-22.926	-1.18317
9.005	-20.2026	2.65507	1.77422	-23.0088	-1.20881
9.01	-18.2251	3.45524	3.82204	-23.0977	-1.20778
9.015	-15.8936	3.90765	4.72536	-23.1923	-1.18165
9.02	-15.8203	3.96208	3.20326	-23.2924	-1.1326
9.025	-19.6472	3.61047	-0.554489	-23.3972	-1.0624
9.03	-26.3184	2.88598	-4.73372	-23.506	-0.973101
9.035	-31.7017	1.86113	-6.9395	-23.6179	-0.866795
9.04	-30.4565	0.640292	-5.74611	-23.7322	-0.746409
9.045	-25.1099	-0.650779	-1.66119	-23.8483	-0.614846
9.05	-22.9492	-1.87891	3.16342	-23.9658	-0.475371
9.055	-22.5647	-2.91879	6.28891	-24.0834	-0.331019
9.06	-23.8281	-3.66513	6.42504	-24.2003	-0.18491
9.065	-25.3601	-4.04349	4.00661	-24.3151	-0.040009
9.07	-27.3376	-4.01681	0.611127	-24.427	0.101042
9.075	-31.9702	-3.58894	-2.21265	-24.5353	0.235901
9.08	-33.783	-2.80394	-3.80675	-24.6393	0.362762
9.085	-32.2266	-1.7427	-4.37751	-24.7381	0.478747
9.09	-27.8015	-0.51502	-4.31099	-24.8311	0.581692
9.095	-24.6765	0.752702	-3.53988	-24.9175	0.669794
9.1	-22.2473	1.9317	-1.59277	-24.9964	0.742817
9.105	-20.5139	2.9035	1.68201	-25.0669	0.800048
9.11	-18.7805	3.57173	5.41256	-25.1282	0.840914
9.115	-11.0352	3.87184	7.77273	-25.1797	0.864794
9.12	-9.46655	3.77803	7.01736	-25.2211	0.87172
9.125	-14.3188	3.30483	2.82472	-25.2519	0.862549
9.13	-25.5493	2.50432	-3.09646	-25.2715	0.838568
9.135	-34.1614	1.46041	-7.75694	-25.2801	0.80248
9.14	-34.0088	0.282061	-8.63805	-25.2775	0.755627
9.145	-29.0588	-0.907273	-5.30326	-25.2638	0.699266
9.15	-24.7803	-1.98362	0.256572	-25.2385	0.634759
9.155	-21.0815	-2.8367	4.84434	-25.2013	0.564734
9.16	-21.8445	-3.38175	6.05349	-25.1526	0.492691
9.165	-25.3662	-3.56659	3.73771	-25.0932	0.420955
9.17	-29.5349	-3.37654	-0.0551148	-25.0235	0.350622
9.175	-29.3518	-2.83652	-2.59017	-24.944	0.282017
9.18	-28.4485	-2.00845	-2.31254	-24.855	0.216305
9.185	-23.2971	-0.98338	0.181389	-24.7567	0.154813
9.19	-23.4924	0.127302	2.71926	-24.6499	0.0988279
9.195	-21.9727	1.20374	3.17692	-24.5358	0.0484073
9.2	-23.0042	2.12946	0.9996	-24.4157	0.00266743
9.205	-25.2441	2.80459	-2.42821	-24.2903	-0.0389742
9.21	-26.2085	3.1579	-4.78019	-24.1605	-0.0766979
9.215	-26.4954	3.15376	-4.42236	-24.0269	-0.111881
9.22	-23.6694	2.79642	-1.52656	-23.8909	-0.14633
9.225	-20.4834	2.12865	2.08344	-23.7536	-0.182045
9.23	-18.1458	1.22768	4.18195	-23.6162	-0.219989
9.235	-18.2983	0.19684	3.62601	-23.4795	-0.259482
9.24	-21.9543	-0.846488	1.05707	-23.3443	-0.300331
9.245	-26.3794	-1.783	-1.5944	-23.212	-0.342976
9.25	-30.304	-2.50663	-2.44268	-23.0842	-0.38863
9.255	-24.9939	-2.93635	-0.926029	-22.9619	-0.437467
9.26	-21.9727	-3.02426	1.80817	-22.8459	-0.488539
9.265	-19.7266	-2.76123	3.66159	-22.7368	-0.54035
9.27	-24.9268	-2.17692	2.99336	-22.6353	-0.591614
9.275	-28.7415	-1.33937	-0.232249	-22.5424	-0.641779
9.28	-28.7231	-0.345443	-4.30191	-22.4593	-0.688917
9.285	-26.7639	0.689983	-6.73307	-22.3866	-0.730117
9.29	-25.0549	1.64815	-5.78787	-22.3248	-0.761586
9.295	-22.7234	2.41942	-1.59881	-22.274	-0.780074
9.3	-19.2383	2.91543	3.80017	-22.2339	-0.783043
9.305	-16.626	3.07908	7.59177	-22.2051	-0.768568
9.31	-10.2539	2.89097	7.78144	-22.1878	-0.735406
9.315	-13.4644	2.371	4.3395	-22.1821	-0.68116
9.32	-19.1467	1.57813	-0.813686	-22.1875	-0.60393
9.325	-29.1138	0.601209	-4.97379	-22.2035	-0.501977
9.33	-34.1431	-0.450323	-6.215	-22.2299	-0.375471
9.335	-30.4138	-1.46076	-4.40656	-22.2666	-0.226348
9.34	-23.8037	-2.31901	-1.08564	-22.3129	-0.0572355
9.345	-22.0459	-2.93191	1.65867	-22.3679	0.12942
9.35	-24.292	-3.23385	2.51065	-22.4303	0.329619
9.355	-25.4089	-3.19439	1.61635	-22.4994	0.53824
9.36	-24.8352	-2.81985	0.237536	-22.5743	0.749079
9.365	-23.2727	-2.15183	-0.300191	-22.6541	0.955508
9.37	-23.5596	-1.26192	0.412566	-22.7375	1.15262
9.375	-18.4265	-0.243462	1.64623	-22.8234	1.33472
9.38	-14.5874	0.798601	2.15766	-22.9106	1.49572
9.385	-14.9048	1.75852	1.17038	-22.998	1.62886
9.39	-20.9595	2.5413	-0.98435	-23.084	1.72738
9.395	-24.5422	3.07185	-3.05092	-23.1673	1.78606
9.4	-20.2087	3.30235	-3.67786	-23.2465	1.80168
9.405	-16.1194	3.21563	-2.33013	-23.3208	1.77132
9.41	-17.4805	2.82553	0.350979	-23.3891	1.69344
9.415	-21.521	2.17314	2.94023	-23.4499	1.56764
9.42	-17.7307	1.32172	4.07192	-23.5025	1.39569
9.425	-18.5425	0.352118	3.18617	-23.5462	1.18129
9.43	-21.5942	-0.645693	0.7748	-23.5807	0.928982
9.435	-28.2959	-1.58071	-1.95785	-23.605	0.643394
9.44	-32.1289	-2.37068	-3.74042	-23.6183	0.332014
9.445	-29.9866	-2.94864	-3.82175	-23.6201	0.00351575
9.45	-27.7649	-3.26595	-2.22939	-23.6099	-0.332057
9.455	-26.3	-3.29599	0.314073	-23.588	-0.665152
9.46	-26.0132	-3.03662	2.74049	-23.5546	-0.986833
9.465	-25.293	-2.50973	4.05503	-23.5098	-1.28802
9.47	-24.8474	-1.7605	3.72723	-23.4539	-1.55975
9.475	-23.1506	-0.852354	1.91251	-23.3869	-1.79365
9.48	-22.3816	0.137636	-0.592691	-23.3093	-1.98226
9.485	-25.2502	1.1247	-2.67922	-23.222	-2.1189
9.49	-29.8767	2.02071	-3.45215	-23.1257	-2.19955
9.495	-30.011	2.74259	-2.69618	-23.0212	-2.22137
9.5	-23.0652	3.22037	-1.00137	-22.9096	-2.18294
9.505	-15.2771	3.40582	0.588406	-22.7921	-2.08397
9.51	-15.8813	3.27675	1.22887	-22.6698	-1.92595
9.515	-22.6013	2.83844	0.824092	-22.5435	-1.71341
9.52	-25.8484	2.1252	0.0686769	-22.4142	-1.45319
9.525	-23.4436	1.19879	-0.084017	-22.2831	-1.15286
9.53	-18.9941	0.146978	0.838982	-22.1522	-0.820725
9.535	-17.0837	-0.925909	2.37302	-22.023	-0.46588
9.54	-20.1843	-1.91035	3.34275	-21.897	-0.0984103
9.545	-24.5422	-2.70381	2.64316	-21.775	0.270782
9.55	-27.7649	-3.22249	0.0881553	-21.658	0.630518
9.555	-28.4363	-3.4086	-3.28967	-21.5469	0.969752
9.56	-26.6357	-3.23812	-5.74987	-21.4435	1.27806
9.565	-26.3611	-2.72693	-5.86742	-21.3487	1.54732
9.57	-25.5554	-1.93102	-3.39339	-21.2632	1.7712
9.575	-23.4253	-0.939493	0.594555	-21.1877	1.94486
9.58	-19.4214	0.13431	4.3249	-21.1229	2.06415
9.585	-10.6689	1.16683	6.3119	-21.0692	2.12639
9.59	-6.71997	2.03735	6.01491	-21.0265	2.13113
9.595	-9.7229	2.64359	3.86885	-20.9954	2.07973
9.6	-17.5537	2.91554	0.79098	-20.9766	1.97537
9.605	-23.5046	2.82536	-2.33865	-20.9704	1.82322
9.61	-23.1873	2.39185	-4.86875	-20.9766	1.62986
9.615	-20.8679	1.67641	-6.25509	-20.9943	1.40282
9.62	-20.5994	0.777655	-5.95545	-21.023	1.14918
9.625	-21.2646	-0.181827	-3.64613	-21.0625	0.876774
9.63	-21.2463	-1.07106	0.345034	-21.1125	0.594303
9.635	-21.8567	-1.76965	4.7607	-21.1721	0.31116
9.64	-18.2007	-2.18447	7.7403	-21.2406	0.036431
9.645	-12.0667	-2.26251	7.73161	-21.3169	-0.222043
9.65	-14.1052	-1.99823	4.49286	-21.3999	-0.457369
9.655	-21.9604	-1.4357	-0.559324	-21.4887	-0.664174
9.66	-32.843	-0.663122	-5.02007	-21.5821	-0.838289
9.665	-33.8867	0.201143	-6.85722	-21.6789	-0.977329
9.67	-27.9541	1.02336	-5.57899	-21.7781	-1.07957
9.675	-21.7773	1.67507	-2.40319	-21.8784	-1.14479
9.68	-19.4763	2.05187	0.671662	-21.979	-1.17394
9.685	-19.1406	2.0904	2.21287	-22.0791	-1.16956
9.69	-21.0083	1.77787	2.15749	-22.1772	-1.13487
9.695	-21.8628	1.15322	1.54694	-22.2722	-1.07368
9.7	-22.2961	0.301839	1.46721	-22.3632	-0.99045
9.705	-21.7651	-0.654319	2.09361	-22.4498	-0.890123
9.71	-22.9736	-1.5735	2.58503	-22.5313	-0.778193
9.715	-22.9248	-2.31382	1.89939	-22.6068	-0.659716
9.72	-24.8474	-2.75502	-0.168548	-22.6755	-0.539989
9.725	-27.8076	-2.81663	-2.62584	-22.7373	-0.423486
9.73	-31.3354	-2.47095	-3.93506	-22.792	-0.314084
9.735	-32.489	-1.74924	-3.20454	-22.839	-0.214843
9.74	-25.647	-0.735864	-0.946077	-22.8785	-0.127847
9.745	-18.042	0.439358	1.2296	-22.9103	-0.0543776
9.75	-15.6677	1.62022	1.80761	-22.935	0.00506837
9.755	-19.4336	2.64441	0.541699	-22.9525	0.0508284
9.76	-23.0896	3.36705	-1.30969	-22.963	0.0842378
9.765	-22.3877	3.68164	-1.91364	-22.9667	0.10768
9.77	-17.2607	3.53409	-0.283991	-22.9639	0.123124
9.775	-15.3992	2.93085	2.86926	-22.9551	0.133329
9.78	-13.9465	1.94021	5.51038	-22.9409	0.140976
9.785	-14.0259	0.683363	5.62289	-22.9219	0.149048
9.79	-20.6543	-0.681834	2.60195	-22.8985	0.161151
9.795	-29.6631	-1.98314	-2.26559	-22.8714	0.180096
9.8	-37.2498	-3.05569	-6.53657	-22.8409	0.208318
9.805	-36.1511	-3.7659	-8.05179	-22.8076	0.247212
9.81	-29.6875	-4.02509	-6.13228	-22.7721	0.297066
9.815	-25.354	-3.80351	-1.82491	-22.7352	0.357478
9.82	-24.6521	-3.13201	2.82951	-22.6971	0.427088
9.825	-22.9736	-2.09928	5.94082	-22.6585	0.50355
9.83	-20.5566	-0.839408	6.60405	-22.6196	0.584145
9.835	-15.1672	0.487541	5.05395	-22.5806	0.666055
9.84	-13.0005	1.71714	2.2314	-22.5416	0.745777
9.845	-16.272	2.70247	-0.788446	-22.5025	0.818576
9.85	-22.3083	3.33271	-3.18224	-22.4632	0.880722
9.855	-27.5085	3.54625	-4.47172	-22.4238	0.928756
9.86	-24.0784	3.33673	-4.45735	-22.3845	0.960132
9.865	-18.8782	2.75079	-3.17734	-22.345	0.971529
9.87	-16.1987	1.87956	-0.932705	-22.305	0.959348
9.875	-17.7979	0.844571	1.67612	-22.2639	0.921143
9.88	-22.5342	-0.219102	3.81789	-22.2212	0.856255
9.885	-18.8843	-1.18156	4.66688	-22.1766	0.765017
9.89	-18.6523	-1.93364	3.73982	-22.1296	0.649204
9.895	-19.2017	-2.40041	1.20197	-22.0795	0.511666
9.9	-25.3235	-2.54857	-2.05299	-22.0255	0.355498
9.905	-31.0181	-2.38875	-4.65101	-21.9672	0.184716
9.91	-30.0781	-1.97067	-5.30987	-21.9046	0.0033837
9.915	-24.1821	-1.3722	-3.49899	-21.8374	-0.183252
9.92	-19.6655	-0.686425	0.160084	-21.7649	-0.369797
9.925	-19.3909	-0.00754945	4.03161	-21.6864	-0.550704
9.93	-19.3848	0.581539	6.20059	-21.6015	-0.720455
9.935	-17.5476	1.01991	5.47188	-21.5099	-0.873493
9.94	-17.5842	1.27423	2.09462	-21.4118	-1.00437
9.945	-21.1731	1.34056	-2.28257	-21.3073	-1.10894
9.95	-29.1687	1.24106	-5.47571	-21.1963	-1.18421
9.955	-30.3162	1.0174	-5.97029	-21.0785	-1.22697
9.96	-26.6785	0.721922	-3.72862	-20.9544	-1.23585
9.965	-22.9675	0.408481	-0.113666	-20.8248	-1.20996
9.97	-19.0552	0.123909	3.01725	-20.6908	-1.15056
9.975	-15.9851	-0.0991485	4.38887	-20.5532	-1.05984
9.98	-15.5151	-0.245369	3.87583	-20.4124	-0.940167
9.985	-18.7622	-0.316938	2.25132	-20.2691	-0.794755
9.99	-23.9441	-0.330207	0.454936	-20.1239	-0.627831
9.995	-23.3337	-0.311157	-1.01227	-19.9786	-0.444207
10	-20.7825	-0.287004	-2.13371	-19.835	-0.249898
10.005	-18.4753	-0.280049	-2.96638	-19.6952	-0.0505672
10.01	-20.3003	-0.302577	-3.25563	-19.5601	0.148542
10.015	-22.3206	-0.354584	-2.50173	-19.4308	0.341927
10.02	-23.1384	-0.424686	-0.496903	-19.3089	0.524579
10.025	-19.4336	-0.490967	2.19496	-19.1962	0.691453
10.03	-12.8662	-0.525189	4.30333	-19.0945	0.838241
10.035	-10.0037	-0.499519	4.58453	-19.0052	0.96118
10.04	-13.9648	-0.393935	2.71818	-18.9298	1.05722
10.045	-20.2148	-0.200539	-0.334252	-18.8695	1.12437
10.05	-24.408	0.0713158	-2.86973	-18.826	1.16211
10.055	-21.5454	0.395487	-3.55773	-18.8005	1.17009
10.06	-17.6575	0.730972	-2.33863	-18.7944	1.14971
10.065	-15.5762	1.02718	-0.424993	-18.8083	1.10296
10.07	-15.4419	1.23236	0.632078	-18.8431	1.03325
10.075	-17.6392	1.30156	0.13128	-18.8991	0.943685
10.08	-17.9321	1.20413	-1.22269	-18.9764	0.837
10.085	-19.0735	0.929859	-1.84203	-19.0754	0.716362
10.09	-20.0684	0.494305	-0.503994	-19.1963	0.585722
10.095	-20.6055	-0.0617854	2.57249	-19.339	0.449108
10.1	-13.1409	-0.675246	5.66572	-19.5027	0.310433
10.105	-10.6934	-1.26876	6.57629	-19.6866	0.173473
10.11	-15.4114	-1.76093	4.10221	-19.8899	0.041268
10.115	-28.2043	-2.07745	-1.04039	-20.1113	-0.0827905
10.12	-36.2671	-2.16201	-6.47127	-20.349	-0.195926
10.125	-31.8298	-1.98418	-9.42959	-20.6011	-0.296044
10.13	-24.1638	-1.54493	-8.32057	-20.8658	-0.381825
10.135	-20.6482	-0.879634	-3.59386	-21.141	-0.452668
10.14	-20.7275	-0.0567487	2.52302	-21.4244	-0.507961
10.145	-19.8181	0.830527	7.23952	-21.7139	-0.547541
10.15	-13.1165	1.67506	8.64357	-22.0065	-0.571767
10.155	-10.614	2.36991	6.55258	-22.2991	-0.5813
10.16	-12.5793	2.82195	2.41589	-22.5885	-0.576846
10.165	-21.3379	2.96365	-1.64418	-22.8724	-0.55978
10.17	-28.7903	2.76265	-3.99154	-23.1487	-0.531659
10.175	-29.5776	2.22641	-4.21192	-23.4153	-0.493657
10.18	-26.5198	1.40329	-3.04869	-23.6687	-0.446532
10.185	-24.7925	0.378963	-1.69274	-23.9057	-0.390972
10.19	-26.0864	-0.7333	-0.948317	-24.1236	-0.328346
10.195	-28.064	-1.80569	-0.814218	-24.3204	-0.260867
10.2	-28.3081	-2.71087	-0.688157	-24.4945	-0.190104
10.205	-27.2583	-3.33912	0.0299233	-24.6439	-0.117444
10.21	-26.5076	-3.6096	1.41186	-24.7661	-0.0436834
10.215	-27.0264	-3.48112	2.92168	-24.8593	0.0306693
10.22	-26.4099	-2.95773	3.80365	-24.9223	0.104466
10.225	-19.7021	-2.09006	3.5938	-24.9546	0.176518
10.23	-19.8486	-0.971323	2.36073	-24.956	0.245288
10.235	-23.2544	0.274388	0.542117	-24.9263	0.309396
10.24	-29.7119	1.50733	-1.42468	-24.8652	0.367547
10.245	-30.4077	2.58759	-3.28837	-24.7725	0.418358
10.25	-26.2268	3.39136	-4.82826	-24.6485	0.460445
10.255	-22.2656	3.82582	-5.56639	-24.4945	0.492764
10.26	-21.7224	3.83957	-4.76029	-24.3123	0.514483
10.265	-21.0876	3.42977	-1.89869	-24.1038	0.524036
10.27	-20.4407	2.64311	2.58203	-23.871	0.521048
10.275	-20.5994	1.56898	7.00264	-23.6157	0.505746
10.28	-11.5662	0.328529	9.0663	-23.3404	0.479342
10.285	-10.1318	-0.940706	7.21361	-23.0478	0.442558
10.29	-15.6982	-2.09911	1.87852	-22.7408	0.395437
10.295	-30.1636	-3.01984	-4.38601	-22.4224	0.338519
10.3	-40.4114	-3.60455	-8.22009	-22.0955	0.273098
10.305	-35.9314	-3.79376	-7.516	-21.7638	0.200676
10.31	-25.4944	-3.57362	-2.8598	-21.4307	0.123058
10.315	-18.8904	-2.97603	2.72486	-21.1	0.0424184
10.32	-17.4194	-2.07371	5.68596	-20.7748	-0.0383042
10.325	-19.9463	-0.972217	4.26327	-20.4588	-0.116058
10.33	-22.1558	0.203795	-0.347068	-20.1554	-0.187719
10.335	-23.1934	1.32433	-4.81561	-19.868	-0.251173
10.34	-21.8811	2.26961	-5.92962	-19.5992	-0.303915
10.345	-18.9087	2.94289	-2.72562	-19.3518	-0.343968
10.35	-15.7227	3.28051	2.92241	-19.1288	-0.369233
10.355	-6.17676	3.25776	7.59665	-18.9328	-0.378294
10.36	-3.87573	2.88985	8.53764	-18.7663	-0.370401
10.365	-8.99658	2.23005	5.2571	-18.6309	-0.345728
10.37	-21.4783	1.36178	-0.422779	-18.5282	-0.305286
10.375	-30.8594	0.387844	-5.68118	-18.4596	-0.250502
10.38	-29.2847	-0.582653	-8.34707	-18.4259	-0.182959
10.385	-23.9502	-1.44648	-7.79971	-18.4279	-0.104285
10.39	-21.8628	-2.11713	-4.79118	-18.4656	-0.0163518
10.395	-22.5952	-2.53303	-0.651554	-18.5389	0.0773933
10.4	-22.7356	-2.66461	3.39092	-18.6476	0.173222
