¬í	EMG	EMG ¿n¤À
0.392	0.0012207	0.00789795
0.394	0.00488281	0.00793457
0.396	-0.00244141	0.00787354
0.398	0.00183105	0.00776978
0.4	0.00366211	0.00780029
0.402	-0.00183105	0.00773315
0.404	0.0012207	0.00773315
0.406	0.00549316	0.00776367
0.408	0.00854492	0.00783691
0.41	-0.00244141	0.00767212
0.412	0.0219727	0.00775146
0.414	-0.00793457	0.00783081
0.416	0.00488281	0.00784302
0.418	0.00915527	0.00789185
0.42	0.00366211	0.00782471
0.422	-0.00305176	0.00773315
0.424	0.00671387	0.00769043
0.426	0.00793457	0.00775146
0.428	-0.0128174	0.00787354
0.43	0.0012207	0.00780029
0.432	-0.00366211	0.00779419
0.434	0.0134277	0.00789795
0.436	0.0195313	0.00787964
0.438	-0.0323486	0.0081604
0.44	-0.00671387	0.0081665
0.442	0.00244141	0.00819092
0.444	0.0152588	0.00818481
0.446	0.020752	0.00817261
0.448	-0.00305176	0.00819702
0.45	-0.0213623	0.00811768
0.452	0.00488281	0.00788574
0.454	0.0213623	0.00809326
0.456	0.00793457	0.00806885
0.458	-0.0164795	0.00820923
0.46	0.00915527	0.00825195
0.462	0.000610352	0.00822754
0.464	-0.000610352	0.00822754
0.466	-0.00427246	0.00819092
0.468	0.0164795	0.00828857
0.47	0.00671387	0.00834351
0.472	-0.0134277	0.00844116
0.474	-0.00793457	0.00838013
0.476	0.0115967	0.00841675
0.478	0.0195313	0.00848999
0.48	-0.0183105	0.00866089
0.482	0.00610352	0.0086731
0.484	0.0177002	0.0086853
0.486	0.00854492	0.00862427
0.488	-0.00488281	0.00865479
0.49	0.00427246	0.0086853
0.492	0.00305176	0.00869141
0.494	-0.00183105	0.0086853
0.496	0.000610352	0.0086792
0.498	0.000610352	0.00861816
0.5	0.00488281	0.00860596
0.502	-0.00549316	0.00852661
0.504	-0.0201416	0.00870972
0.506	0.00610352	0.00876465
0.508	0.0189209	0.0088623
0.51	-0.0183105	0.0088623
0.512	-0.00610352	0.00886841
0.514	-0.00976563	0.00889282
0.516	0.0115967	0.00896606
0.518	-0.0134277	0.00900269
0.52	-0.0189209	0.00908813
0.522	0.0231934	0.00928955
0.524	-0.0012207	0.00927734
0.526	-0.0158691	0.009375
0.528	0.00793457	0.0093811
0.53	-0.00671387	0.0093811
0.532	0.00671387	0.00943604
0.534	-0.00183105	0.00925903
0.536	-0.00366211	0.009198
0.538	0.00671387	0.00924072
0.54	0.00244141	0.00915527
0.542	-0.0158691	0.00911865
0.544	0.010376	0.00896606
0.546	0.00427246	0.00895996
0.548	0.0238037	0.00917358
0.55	-0.00732422	0.00914307
0.552	0	0.00911255
0.554	0.012207	0.00904541
0.556	0.0115967	0.00903931
0.558	-0.00549316	0.0090271
0.56	0.00915527	0.00900879
0.562	0.010376	0.00906372
0.564	-0.022583	0.00908203
0.566	-0.00549316	0.00912476
0.568	0.00427246	0.00909424
0.57	-0.00366211	0.00904541
0.572	-0.0231934	0.00924683
0.574	0.0012207	0.00906372
0.576	0.00732422	0.00908203
0.578	-0.00427246	0.00889893
0.58	-0.00488281	0.00888062
0.582	0.00427246	0.00882568
0.584	-0.00366211	0.00880127
0.586	0.0146484	0.00892944
0.588	0.00183105	0.00892334
0.59	-0.00793457	0.00888062
0.592	0.022583	0.00909424
0.594	-0.012207	0.00916748
0.596	0.000610352	0.00914917
0.598	0	0.00913086
0.6	-0.00610352	0.00915527
0.602	0.00183105	0.00915527
0.604	-0.0274658	0.00941772
0.606	0.0134277	0.00949707
0.608	0.00976563	0.00950928
0.61	-0.00976563	0.00958252
0.612	-0.0115967	0.00947876
0.614	0.00610352	0.00946045
0.616	0.0134277	0.0095459
0.618	-0.00854492	0.00953979
0.62	0.010376	0.00960693
0.622	-0.0170898	0.00974731
0.624	0.00427246	0.0097229
0.626	0.0115967	0.00975952
0.628	0.010376	0.00973511
0.63	-0.00427246	0.00976563
0.632	-0.00671387	0.00979614
0.634	0.012207	0.00978394
0.636	0.0128174	0.0097168
0.638	-0.0158691	0.009552
0.64	-0.00488281	0.00953369
0.642	0.0109863	0.00961914
0.644	-0.010376	0.00957031
0.646	-0.0219727	0.00958252
0.648	0.0134277	0.00968628
0.65	-0.0109863	0.00958252
0.652	0.00488281	0.00958252
0.654	-0.00244141	0.00939331
0.656	-0.00854492	0.00939941
0.658	-0.010376	0.00933838
0.66	0.0012207	0.00925903
0.662	0	0.00925293
0.664	-0.00610352	0.00930786
0.666	0.0158691	0.00942383
0.668	-0.00854492	0.00934448
0.67	-0.00671387	0.00934448
0.672	0.012207	0.00933228
0.674	0.0158691	0.00941162
0.676	-0.00488281	0.00934448
0.678	0.012207	0.00927124
0.68	0.0146484	0.00923462
0.682	0.000610352	0.00917969
0.684	0.00183105	0.009021
0.686	0.00427246	0.00897827
0.688	0.0189209	0.00911865
0.69	0	0.00907593
0.692	0.00610352	0.00910645
0.694	0.00305176	0.00911865
0.696	-0.00488281	0.00916138
0.698	-0.00549316	0.00921021
0.7	-0.00305176	0.00919189
0.702	-0.0109863	0.00924683
0.704	0.0177002	0.00922241
0.706	-0.00366211	0.009198
0.708	-0.0128174	0.00913696
0.71	-0.0012207	0.00896606
0.712	0.0189209	0.00909424
0.714	-0.00610352	0.00905762
0.716	0.00549316	0.00899658
0.718	0.0262451	0.00912476
0.72	-0.0183105	0.00911865
0.722	-0.0115967	0.00900269
0.724	0.0238037	0.00922852
0.726	-0.00854492	0.00915527
0.728	-0.00488281	0.00912476
0.73	0.0012207	0.00906982
0.732	0.00793457	0.00908203
0.734	-0.000610352	0.00906982
0.736	-0.00976563	0.00913086
0.738	0.00915527	0.00915527
0.74	0.00732422	0.0092041
0.742	0	0.00904541
0.744	0.000610352	0.00894775
0.746	0.00427246	0.00894775
0.748	0.00915527	0.00880127
0.75	0.0128174	0.0088562
0.752	0.00366211	0.00889282
0.754	-0.00244141	0.00879517
0.756	0.0177002	0.0088562
0.758	0.0109863	0.00891113
0.76	-0.0213623	0.0090332
0.762	0.0170898	0.00910034
0.764	0.0012207	0.00888672
0.766	-0.00732422	0.00890503
0.768	0.00549316	0.00891724
0.77	-0.00427246	0.00892334
0.772	0	0.00869141
0.774	0.00610352	0.00874023
0.776	0.0256348	0.00892334
0.778	0.000610352	0.00888672
0.78	-0.0012207	0.0088501
0.782	0.00854492	0.00889282
0.784	0.000610352	0.0088623
0.786	0.0128174	0.00884399
0.788	-0.0152588	0.00897827
0.79	-0.0195313	0.00909424
0.792	0.00610352	0.00892944
0.794	-0.0146484	0.00895386
0.796	-0.0115967	0.00906372
0.798	-0.00244141	0.00908813
0.8	-0.00244141	0.00905151
0.802	0.00610352	0.00909424
0.804	0.00610352	0.00888062
0.806	-0.00549316	0.00880127
0.808	0.0152588	0.0088562
0.81	0.00244141	0.00878296
0.812	-0.00549316	0.00872192
0.814	0.0115967	0.00877686
0.816	0.00732422	0.00871582
0.818	0.0170898	0.00880127
0.82	-0.0219727	0.00891724
0.822	-0.00610352	0.00880737
0.824	0.00305176	0.00879517
0.826	-0.00305176	0.00870972
0.828	0.00305176	0.00863647
0.83	0.0299072	0.00889282
0.832	-0.032959	0.00915527
0.834	0.000610352	0.00903931
0.836	0.00671387	0.00897827
0.838	0.0152588	0.00897217
0.84	0.00427246	0.00896606
0.842	0.00671387	0.00892334
0.844	-0.0152588	0.00897217
0.846	0.0128174	0.00888062
0.848	-0.0115967	0.0088623
0.85	0.00244141	0.00877686
0.852	0.0152588	0.00888062
0.854	-0.00976563	0.00895386
0.856	-0.0128174	0.00899658
0.858	0.00610352	0.00895386
0.86	-0.00610352	0.00900269
0.862	0	0.00900269
0.864	-0.00244141	0.00896606
0.866	-0.0183105	0.00899048
0.868	-0.00366211	0.00894165
0.87	0.0213623	0.00908813
0.872	-0.00183105	0.00898438
0.874	-0.00305176	0.0088562
0.876	0.00183105	0.00882568
0.878	0.00793457	0.00878296
0.88	-0.00183105	0.00865479
0.882	0.00244141	0.0086731
0.884	0.010376	0.00875854
0.886	-0.0158691	0.00887451
0.888	0.000610352	0.00869141
0.89	-0.00976563	0.00878906
0.892	0.00244141	0.00875244
0.894	0.00183105	0.00874023
0.896	-0.00366211	0.00872803
0.898	0.00244141	0.00869751
0.9	-0.0134277	0.00880127
0.902	0.012207	0.00881348
0.904	0.0134277	0.00877075
0.906	-0.00915527	0.00882568
0.908	-0.00183105	0.00871582
0.91	0.0170898	0.00887451
0.912	-0.010376	0.00878906
0.914	0.0183105	0.00891113
0.916	-0.00488281	0.00890503
0.918	-0.0152588	0.00879517
0.92	0.00488281	0.00866089
0.922	0.00793457	0.00862427
0.924	-0.00427246	0.00842896
0.926	0.00549316	0.00839844
0.928	-0.00793457	0.00842896
0.93	0.00915527	0.0085083
0.932	-0.0012207	0.00844116
0.934	-0.00183105	0.00845337
0.936	0.00244141	0.00838013
0.938	0.00549316	0.00834351
0.94	0	0.00827026
0.942	0.00610352	0.0083313
0.944	-0.00976563	0.00842285
0.946	0.00915527	0.00847168
0.948	-0.0170898	0.00855103
0.95	-0.00488281	0.00847168
0.952	0.012207	0.00855713
0.954	-0.00366211	0.00856934
0.956	-0.00427246	0.00843506
0.958	-0.00610352	0.00838623
0.96	0.00976563	0.00827026
0.962	-0.00305176	0.00812988
0.964	0.00427246	0.0081604
0.966	0.00915527	0.00817871
0.968	0.0128174	0.00825195
0.97	-0.0158691	0.00836792
0.972	0.00671387	0.00843506
0.974	-0.00305176	0.00840454
0.976	0.0262451	0.00841064
0.978	-0.0109863	0.0085144
0.98	-0.0158691	0.00866089
0.982	-0.0012207	0.00858765
0.984	0.010376	0.0086853
0.986	0.000610352	0.00856323
0.988	-0.0128174	0.00853882
0.99	0.000610352	0.00834961
0.992	0.0213623	0.0085022
0.994	-0.00854492	0.00844116
0.996	-0.0128174	0.00845337
0.998	0.00305176	0.00845947
1	0.0170898	0.00860596
1.002	-0.00671387	0.00861206
